Puesto_de_Trabajo,Salario_Promedio_USD,Años_de_Experiencia,Nivel_Educativo,Indice_Exposicion_IA,Factor_Crecimiento_Tecnologico,Probabilidad_Automatizacion_2030,Categoria_Riesgo,Habilidad_1,Habilidad_2,Habilidad_3,Habilidad_4,Habilidad_5,Habilidad_6,Habilidad_7,Habilidad_8,Habilidad_9,Habilidad_10
Guardia de Seguridad,45795,28,Maestría,0.18,1.28,0.85,Alto,0.45,0.1,0.46,0.33,0.14,0.65,0.06,0.72,0.94,0.0
Científico Investigador,133355,20,Doctorado,0.62,1.11,0.05,Bajo,0.02,0.52,0.4,0.05,0.97,0.23,0.09,0.62,0.38,0.98
Obrero de Construcción,146216,2,Bachillerato,0.86,1.18,0.81,Alto,0.01,0.94,0.56,0.39,0.02,0.23,0.24,0.68,0.61,0.83
Ingeniero de Software,136530,13,Doctorado,0.39,0.68,0.6,Medio,0.43,0.21,0.57,0.03,0.84,0.45,0.4,0.93,0.73,0.33
Analista Financiero,70397,22,Bachillerato,0.52,1.46,0.64,Medio,0.75,0.54,0.59,0.97,0.61,0.28,0.3,0.17,0.02,0.42
Ingeniero de IA,92592,11,Maestría,0.29,0.51,0.1,Bajo,0.71,0.79,0.61,0.93,0.65,0.91,0.85,0.45,0.1,0.37
Mecánico,107373,23,Doctorado,0.67,1.09,0.41,Medio,0.56,0.38,0.97,0.85,0.72,0.24,0.26,0.04,0.71,0.11
Maestro,53419,12,Bachillerato,0.2,1.4,0.17,Bajo,0.56,0.7,0.14,0.6,0.54,0.2,0.94,0.6,0.69,0.88
Especialista en RRHH,139225,12,Maestría,0.3,0.61,0.48,Medio,0.22,0.42,0.88,0.32,0.12,0.36,0.91,0.27,0.65,0.0
Soporte al Cliente,85016,2,Bachillerato,0.01,1.01,0.8,Alto,0.22,0.12,0.34,0.94,0.32,0.52,0.7,0.36,0.97,0.96
Investigador UX,82733,6,Bachillerato,0.5,0.8,0.41,Medio,0.04,0.61,0.5,0.05,0.28,0.91,0.24,0.14,0.49,0.99
Analista Financiero,117455,22,Bachillerato,0.67,1.26,0.4,Medio,0.73,0.37,0.63,0.63,0.54,0.09,0.84,0.32,0.19,0.04
Abogado,79811,27,Bachillerato,0.68,0.52,0.5,Medio,0.23,0.65,0.17,0.69,0.39,0.94,0.14,0.34,0.11,0.92
Científico de Datos,115981,9,Bachillerato,0.26,1.16,0.63,Medio,0.56,0.53,0.24,0.09,0.9,0.9,0.63,0.34,0.35,0.73
Científico Investigador,96690,19,Maestría,0.89,1.28,0.21,Bajo,0.08,0.16,0.9,0.61,0.01,0.1,0.66,0.01,0.16,0.55
Diseñador Gráfico,32869,2,Bachillerato,0.65,0.72,0.58,Medio,0.24,0.33,0.75,0.65,0.85,0.66,0.57,0.09,0.37,0.27
Maestro,36893,29,Licenciatura,0.97,0.89,0.27,Bajo,0.63,0.79,0.5,0.58,0.49,0.2,0.72,0.28,0.02,0.65
Maestro,103744,11,Licenciatura,0.94,1.45,0.28,Bajo,0.37,0.02,0.93,0.43,0.97,0.96,0.85,0.29,0.39,0.85
Trabajador de Comercio,148015,2,Doctorado,0.17,1.06,0.93,Alto,0.7,0.57,0.1,0.62,0.99,0.14,0.52,0.88,0.74,0.7
Médico,108069,15,Maestría,0.55,0.8,0.15,Bajo,0.26,0.61,0.08,0.01,0.63,0.19,0.07,0.4,0.05,0.89
Ingeniero de IA,43403,1,Bachillerato,0.09,1.08,0.06,Bajo,0.47,0.54,0.29,0.59,0.03,0.04,0.82,0.36,0.13,0.52
Especialista en RRHH,49508,27,Licenciatura,0.22,1.12,0.33,Medio,0.05,0.53,0.54,0.64,0.73,0.98,0.52,0.32,0.8,0.27
Maestro,58251,25,Doctorado,0.08,0.53,0.29,Bajo,0.84,0.7,0.41,0.17,0.16,0.25,0.55,0.71,0.66,0.28
Analista Financiero,33343,28,Bachillerato,0.74,1.05,0.54,Medio,0.42,0.25,0.36,0.76,0.01,0.12,0.05,0.04,0.86,0.7
Ingeniero de IA,125435,15,Doctorado,0.1,0.99,0.17,Bajo,0.17,0.43,0.4,0.62,0.64,0.05,0.37,0.63,0.5,0.86
Ingeniero de Software,39540,12,Bachillerato,0.16,0.57,0.56,Medio,0.03,0.59,0.94,0.58,0.39,0.64,0.46,0.55,0.94,0.39
Mecánico,68304,7,Maestría,0.91,0.7,0.33,Medio,0.1,0.02,0.09,0.68,0.07,0.32,0.84,0.02,0.81,0.28
Soporte al Cliente,33267,25,Doctorado,0.7,1.13,0.92,Alto,0.74,0.8,0.28,0.18,0.75,0.81,0.99,0.41,0.37,0.78
Especialista en RRHH,89031,22,Maestría,0.93,1.36,0.47,Medio,0.75,0.75,0.1,0.9,0.51,0.83,0.32,0.9,0.39,0.01
Especialista en RRHH,102936,18,Maestría,0.09,0.82,0.68,Medio,0.95,0.57,0.63,0.45,0.29,0.33,0.67,0.75,0.79,0.79
Maestro,114076,20,Maestría,0.49,0.56,0.19,Bajo,0.44,0.89,0.35,0.12,0.14,0.76,0.62,0.1,0.08,0.7
Trabajador de Comercio,69081,8,Bachillerato,0.82,1.21,0.72,Alto,0.08,0.99,0.37,0.37,0.81,0.95,0.99,0.75,0.38,0.08
Trabajador de Comercio,102124,11,Licenciatura,0.56,0.92,0.93,Alto,0.11,0.49,0.01,0.47,0.06,0.12,0.12,0.65,0.75,0.58
Conductor de Camión,91629,24,Bachillerato,0.37,0.79,0.92,Alto,0.22,0.96,0.01,0.97,0.04,0.89,0.53,0.99,0.07,0.55
Maestro,43843,24,Doctorado,0.52,1.13,0.22,Bajo,0.45,0.63,0.58,0.9,0.05,0.28,0.95,0.89,0.46,0.62
Mecánico,59703,25,Licenciatura,0.19,0.96,0.44,Medio,0.58,0.08,0.97,0.99,0.7,0.54,0.31,0.81,0.68,0.16
Mecánico,64349,2,Licenciatura,0.82,1.45,0.59,Medio,0.61,0.42,0.93,0.87,0.05,0.03,0.38,0.81,0.99,0.15
Soporte al Cliente,92292,25,Licenciatura,0.38,1.47,0.91,Alto,0.84,0.47,0.41,0.27,0.06,0.86,0.81,1.0,1.0,0.56
Chef,53524,20,Doctorado,0.94,1.35,0.4,Medio,0.45,0.13,0.95,0.61,0.23,0.67,0.62,0.36,0.11,0.67
Trabajador de Comercio,88017,21,Licenciatura,0.77,1.02,0.91,Alto,0.55,0.56,0.88,0.4,0.13,0.03,0.76,0.62,0.7,0.21
Diseñador Gráfico,111317,27,Doctorado,0.98,1.11,0.55,Medio,0.55,0.09,0.73,0.55,0.45,0.91,0.3,0.52,0.7,0.8
Médico,144825,23,Licenciatura,0.84,1.27,0.07,Bajo,0.05,0.62,0.35,0.21,0.58,0.34,0.54,0.46,0.58,0.4
Científico Investigador,52415,7,Doctorado,0.18,1.2,0.15,Bajo,0.87,0.52,0.97,0.6,0.22,0.82,0.35,0.35,0.03,0.55
Obrero de Construcción,134680,11,Doctorado,0.21,0.86,0.83,Alto,0.69,0.04,0.8,0.63,0.08,0.87,0.92,0.06,0.28,0.81
